Car flexibility (param.),Worst case CPU time(s),Max. number of car/s
1.3,0.052525579,343
1.3,0.042354547,323
1.4,0.09918497,435
1.4,0.073346281,416
1.4,0.07377391,417
1.4,0.073246832,404
1.4,0.080209843,421
1.4,0.053385329,425
1.4,0.052455965,404
1.4,0.051542,411
1.4,0.055488508,401
1.4,0.043890547,398
1.4,0.071740987,385
1.4,0.063138035,391
1.4,0.068571782,385
1.4,0.063719329,387
1.4,0.051828476,408
1.4,0.046014258,399
1.4,0.042010968,383
1.4,0.04686695,387
1.4,0.042394647,384
1.4,0.049876716,385
1.5,0.107760974,474
1.5,0.177290351,467
1.5,0.094316797,470
1.5,0.078739607,455
1.5,0.062327048,459
1.5,0.077641822,451
1.5,0.063837384,424
1.5,0.059269803,458
1.5,0.123885453,436
1.5,0.055772739,442
1.5,0.078978925,447
1.5,0.071752536,456
1.5,0.086802327,434
1.5,0.054918122,448
1.5,0.06523961,420
1.5,0.059697753,444
1.5,0.06557934,425
1.5,0.050288626,413
1.5,0.049547894,416
1.5,0.070634219,437
1.1,0.035993361,274
1.1,0.034586964,256
1.1,0.034983796,260
1.1,0.032118391,250
1.1,0.032080858,248
1.1,0.02949423,247
1.1,0.031496356,254
1.1,0.030458561,238
1.1,0.032439835,240
1.1,0.030855714,241
1.1,0.028565828,235
1.1,0.025660002,225
1.1,0.028560054,235
1.1,0.026305456,228
1.1,0.028424034,227
1.1,0.029294049,237
1.1,0.027859422,236
1.1,0.02710297,226
1.1,0.027784996,234
1.1,0.027707041,231
1.2,0.04239593,295
1.2,0.040107007,304
1.2,0.041334396,295
1.2,0.038812891,285
1.2,0.037975276,280
1.2,0.039801924,286
1.2,0.038366013,272
1.2,0.040282486,278
1.2,0.034470513,273
1.2,0.035929842,266
1.2,0.036178143,282
1.2,0.036301331,264
1.2,0.037354203,273
1.2,0.03364958,264
1.2,0.032959214,259
1.2,0.034816979,267
1.2,0.031768396,259
1.2,0.033362462,256
1.2,0.035988869,260
1.2,0.031028626,253
1.3,0.053209209,333
1.3,0.052174622,336
1.3,0.052178471,318
1.3,0.054344848,328
1.3,0.048815823,315
1.3,0.046197115,313
1.3,0.050915794,314
1.3,0.049613337,315
1.3,0.04770681,314
1.3,0.046740554,306
1.3,0.047539993,309
